"player","team","posQB","posRB","posTE","posWR","year","lag_ppg","lag_age","lag_starts","lag_rk_ovr","lag_pass_comp","lag_pass_att","lag_pass_yds","lag_pass_td","lag_pass_int","lag_rush_att","lag_rush_yds","lag_y_a","lag_rush_td","lag_rec_tgt","lag_rec_rec","lag_rec_yds","lag_y_r","lag_rec_td","lag_fumb_times","lag_fumb_fl","lag_score_tds","lag_score_2pm","lag_score_2pp","lag_rk_vbd","lag_rk_pos","lag_rk_probowl","lag_rk_allpro"
"Marcus Mariota","PHI",1,0,0,0,2023,4,30,0,387,15,23,164,1,1,8,52,6.5,0,0,0,0,0,0,1,1,0,0,0,0,62,0,0
"D.J. Montgomery","IND",0,0,0,1,2023,1.92857142857143,27,0,388,0,0,0,0,0,0,0,0,0,8,3,56,18.67,1,0,0,1,0,0,0,157,0,0
"Boston Scott","PHI",0,1,0,0,2023,0.933333333333333,28,0,389,0,0,0,0,0,20,86,4.3,0,6,4,52,13,0,1,1,0,0,0,0,97,0,0
"Laviska Shenault Jr.","CAR",0,0,0,1,2023,2.125,25,0,390,0,0,0,0,0,12,55,4.58,0,10,10,60,6,0,1,0,0,0,0,0,159,0,0
"Cole Turner","WAS",0,0,1,0,2023,1.45833333333333,23,1,391,0,0,0,0,0,0,0,0,0,15,11,120,10.91,0,0,0,0,0,0,0,74,0,0
"C.J. Uzomah","NYJ",0,0,1,0,2023,1.33333333333333,30,8,392,0,0,0,0,0,0,0,0,0,12,8,58,7.25,1,0,0,1,0,0,0,75,0,0
"Jameis Winston","NOR",1,0,0,0,2023,1.71428571428571,29,0,393,25,47,264,2,3,5,-6,-1.2,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0
"Raheem Blackshear","CAR",0,1,0,0,2023,1.16666666666667,24,0,394,0,0,0,0,0,14,46,3.29,0,7,6,45,7.5,0,0,0,0,1,0,0,99,0,0
"Brandon Bolden","LVR",0,1,0,0,2023,0.647058823529412,33,0,395,0,0,0,0,0,4,31,7.75,1,0,0,0,0,0,0,0,1,1,0,0,100,0,0
"Tim Boyle","NYJ",1,0,0,0,2023,3.66666666666667,29,2,396,48,77,360,1,4,4,5,1.25,0,0,0,0,0,0,2,0,0,0,0,0,63,0,0
"Chris Brooks","MIA",0,1,0,0,2023,1.22222222222222,23,0,397,0,0,0,0,0,19,106,5.58,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0
"Mecole Hardman","2TM",0,0,0,1,2023,1.68181818181818,25,2,398,0,0,0,0,0,1,3,3,0,24,15,124,8.27,0,1,1,0,0,0,0,160,0,0
"La'Mical Perine","KAN",0,1,0,0,2023,4.16666666666667,25,1,399,0,0,0,0,0,22,77,3.5,0,5,3,33,11,0,0,0,0,0,0,0,101,0,0
"Patrick Ricard","BAL",0,1,0,0,2023,0.794117647058823,29,9,400,0,0,0,0,0,0,0,0,0,7,5,52,10.4,1,0,0,1,0,0,0,98,0,0
"Robert Tonyan","CHI",0,0,1,0,2023,0.970588235294118,29,6,401,0,0,0,0,0,0,0,0,0,17,11,112,10.18,0,0,0,0,0,0,0,76,0,0
"Emanuel Wilson","GNB",0,1,0,0,2023,1.85714285714286,24,0,402,0,0,0,0,0,14,85,6.07,0,5,4,23,5.75,0,1,0,0,0,0,0,102,0,0
"Lawrence Cager","NYG",0,0,1,0,2023,1.09090909090909,26,0,403,0,0,0,0,0,0,0,0,0,5,4,36,9,1,0,0,1,0,0,0,77,0,0
"Parris Campbell","NYG",0,0,0,1,2023,1.66666666666667,26,3,404,0,0,0,0,0,0,0,0,0,27,20,104,5.2,0,0,0,0,0,0,0,161,0,0
"J.K. Dobbins","BAL",0,1,0,0,2023,11,25,1,405,0,0,0,0,0,8,22,2.75,1,3,2,15,7.5,0,0,0,1,0,0,0,105,0,0
"Marquise Goodwin","CLE",0,0,0,1,2023,1,33,0,406,0,0,0,0,0,4,33,8.25,0,13,4,67,16.75,0,0,0,0,0,0,0,163,0,0
"Keaontay Ingram","ARI",0,1,0,0,2023,1.5,24,1,407,0,0,0,0,0,35,74,2.11,0,4,4,26,6.5,0,0,0,0,0,0,0,104,0,0
"Case Keenum","HOU",1,0,0,0,2023,5,35,2,408,34,53,291,1,3,2,1,0.5,0,0,0,0,0,0,1,0,0,0,0,0,64,0,0
"Keith Kirkwood","NOR",0,0,0,1,2023,0.961538461538462,29,4,409,0,0,0,0,0,0,0,0,0,9,5,37,7.4,1,0,0,1,0,0,0,164,0,0
"Hunter Luepke","DAL",0,1,0,0,2023,0.676470588235294,23,0,410,0,0,0,0,0,6,19,3.17,1,4,3,18,6,0,0,0,1,0,0,0,106,0,0
"Sterling Shepard","NYG",0,0,0,1,2023,1,30,2,411,0,0,0,0,0,1,6,6,0,22,10,57,5.7,1,1,1,1,0,0,0,162,0,0
"Brenton Strange","JAX",0,0,1,0,2023,0.892857142857143,23,4,412,0,0,0,0,0,0,0,0,0,9,5,35,7,1,0,0,1,0,0,0,78,0,0
"Israel Abanikanda","NYJ",0,1,0,0,2023,2.08333333333333,21,0,413,0,0,0,0,0,22,70,3.18,0,11,7,43,6.14,0,1,1,0,0,0,0,107,0,0
"Nick Bawden","NYJ",0,1,0,0,2023,0.65625,27,2,414,0,0,0,0,0,2,4,2,1,3,3,21,7,0,0,0,1,0,0,0,108,0,0
"Richie James","KAN",0,0,0,1,2023,1.55555555555556,28,1,415,0,0,0,0,0,0,0,0,0,14,10,114,11.4,0,2,1,0,0,0,0,165,0,0
"Marcedes Lewis","CHI",0,0,1,0,2023,0.647058823529412,39,4,416,0,0,0,0,0,0,0,0,0,5,4,29,7.25,1,0,0,1,0,0,0,80,0,0
"Quintin Morris","BUF",0,0,1,0,2023,0.666666666666667,24,0,417,0,0,0,0,0,0,0,0,0,3,2,26,13,1,0,0,1,0,0,0,81,0,0
"Geoff Swaim","ARI",0,0,1,0,2023,1,30,8,418,0,0,0,0,0,0,0,0,0,11,10,94,9.4,0,0,0,0,0,0,0,79,0,0
"Brycen Hopkins","LAR",0,0,1,0,2023,0.7,26,0,419,0,0,0,0,0,0,0,0,0,7,5,78,15.6,0,0,0,0,0,0,0,83,0,0
"Tim Jones","JAX",0,0,0,1,2023,0.794117647058823,25,2,420,0,0,0,0,0,0,0,0,0,18,11,83,7.55,0,0,0,0,0,0,0,166,0,0
"Dare Ogunbowale","HOU",0,1,0,0,2023,0.75,29,0,421,0,0,0,0,0,8,35,4.38,0,7,2,18,9,0,0,0,0,0,0,0,109,0,0
"Ben Sims","GNB",0,0,1,0,2023,0.588235294117647,23,1,422,0,0,0,0,0,0,0,0,0,6,4,21,5.25,1,0,0,1,0,0,0,82,0,0
"Samori Toure","GNB",0,0,0,1,2023,1.09090909090909,25,0,423,0,0,0,0,0,0,0,0,0,18,8,78,9.75,0,1,1,0,1,0,0,167,0,0
"Deuce Vaughn","DAL",0,1,0,0,2023,1.64285714285714,22,0,424,0,0,0,0,0,23,40,1.74,0,7,7,40,5.71,0,0,0,0,0,0,0,110,0,0
"Trayveon Williams","CIN",0,1,0,0,2023,0.676470588235294,26,0,425,0,0,0,0,0,15,69,4.6,0,9,7,10,1.43,0,0,0,0,0,0,0,111,0,0
"Blake Bell","KAN",0,0,1,0,2023,0.558823529411765,32,3,426,0,0,0,0,0,0,0,0,0,9,5,26,5.2,1,1,1,1,0,0,0,84,0,0
"Gary Brightwell","NYG",0,1,0,0,2023,1.35714285714286,24,0,427,0,0,0,0,0,9,19,2.11,0,7,5,47,9.4,0,0,0,0,0,0,0,113,0,0
"Chris Conley","SFO",0,0,0,1,2023,1.0625,31,0,428,0,0,0,0,0,0,0,0,0,6,3,69,23,0,0,0,0,0,0,0,170,0,0
"Josiah Deguara","GNB",0,0,1,0,2023,0.733333333333333,26,4,429,0,0,0,0,0,0,0,0,0,8,8,65,8.13,0,0,0,0,0,0,0,85,0,0
"Simi Fehoko","LAC",0,0,0,1,2023,1.25,26,0,430,0,0,0,0,0,0,0,0,0,2,1,9,9,1,0,0,1,0,0,0,171,0,0
"Eric Gray","NYG",0,1,0,0,2023,0.769230769230769,24,0,431,0,0,0,0,0,17,48,2.82,0,7,6,22,3.67,0,3,0,0,0,0,0,112,0,0
"Tyler Johnson","LAR",0,0,0,1,2023,8,25,0,432,0,0,0,0,0,0,0,0,0,3,2,8,4,1,0,0,1,0,0,0,172,0,0
"Velus Jones Jr.","CHI",0,0,0,1,2023,0.642857142857143,26,0,433,0,0,0,0,0,8,51,6.38,0,7,4,20,5,0,0,0,0,0,0,0,168,0,0
"Clayton Tune","ARI",1,0,0,0,2023,1,24,1,434,12,21,62,0,2,8,30,3.75,1,0,0,0,0,0,2,1,1,1,0,0,65,0,0
"Tylan Wallace","BAL",0,0,0,1,2023,0.681818181818182,24,0,435,0,0,0,0,0,0,0,0,0,2,1,11,11,0,0,0,1,0,0,0,169,0,0
"Jalen Brooks","DAL",0,0,0,1,2023,1.28571428571429,23,0,436,0,0,0,0,0,0,0,0,0,6,6,64,10.67,0,0,0,0,0,0,0,173,0,0
"DeAndre Carter","LVR",0,0,0,1,2023,0.470588235294118,30,1,437,0,0,0,0,0,3,18,6,0,7,4,39,9.75,0,2,0,0,0,0,0,176,0,0
"Payne Durham","TAM",0,0,1,0,2023,0.653846153846154,23,2,438,0,0,0,0,0,0,0,0,0,7,5,58,11.6,0,0,0,0,0,0,0,88,0,0
"Blaine Gabbert","KAN",1,0,0,0,2023,3,34,1,439,18,35,185,0,3,7,45,6.43,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0
"Rakim Jarrett","TAM",0,0,0,1,2023,0.8,22,0,440,0,0,0,0,0,1,0,0,0,9,4,60,15,0,0,0,0,0,0,0,175,0,0
"Ko Kieft","TAM",0,0,1,0,2023,0.40625,25,6,441,0,0,0,0,0,0,0,0,0,5,1,2,2,1,0,0,1,0,0,0,86,0,0
"Isaiah McKenzie","IND",0,0,0,1,2023,0.884615384615385,28,2,442,0,0,0,0,0,3,14,4.67,0,14,11,82,7.45,0,3,2,0,0,0,0,177,0,0
"Equanimeous St. Brown","CHI",0,0,0,1,2023,1.21428571428571,27,2,443,0,0,0,0,0,0,0,0,0,6,5,62,12.4,0,0,0,0,0,0,0,174,0,0
"Ian Thomas","CAR",0,0,1,0,2023,0.708333333333333,27,5,444,0,0,0,0,0,0,0,0,0,9,5,56,11.2,0,0,0,0,0,0,0,89,0,0
"Darnell Washington","PIT",0,0,1,0,2023,0.558823529411765,22,7,445,0,0,0,0,0,0,0,0,0,10,7,61,8.71,0,0,0,0,0,0,0,87,0,0
"Mitchell Wilcox","CIN",0,0,1,0,2023,0.617647058823529,27,4,446,0,0,0,0,0,0,0,0,0,12,9,56,6.22,0,0,0,0,0,0,0,90,0,0
"Damien Williams","ARI",0,1,0,0,2023,2.33333333333333,31,0,447,0,0,0,0,0,11,43,3.91,0,2,2,12,6,0,0,0,0,0,0,0,114,0,0
"Brian Hoyer","LVR",1,0,0,0,2023,1.66666666666667,38,1,448,23,42,231,0,2,3,-3,-1,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0
"Ty Montgomery","NWE",0,0,0,1,2023,0.576923076923077,30,0,449,0,0,0,0,0,3,9,3,0,12,5,40,8,0,0,0,0,0,0,0,179,0,0
"Justyn Ross","KAN",0,0,0,1,2023,0.8,24,1,450,0,0,0,0,0,0,0,0,0,11,6,53,8.83,0,0,0,0,0,0,0,178,0,0
"Brett Rypien","LAR",1,0,0,0,2023,2.5,27,1,451,18,38,172,0,1,3,19,6.33,0,0,0,0,0,0,2,1,0,0,0,0,68,0,0
"Mike Strachan","CAR",0,0,0,1,2023,1.375,26,1,452,0,0,0,0,0,0,0,0,0,3,1,45,45,0,0,0,0,0,0,0,180,0,0
"Michael Burton","DEN",0,1,0,0,2023,0.323529411764706,31,3,453,0,0,0,0,0,7,9,1.29,0,3,3,8,2.67,0,0,0,0,1,0,0,118,0,0
"Grant Calcaterra","PHI",0,0,1,0,2023,0.4,25,1,454,0,0,0,0,0,0,0,0,0,4,4,39,9.75,0,0,0,0,0,0,0,91,0,0
"Elijah Cooks","JAX",0,0,0,1,2023,0.611111111111111,25,0,455,0,0,0,0,0,0,0,0,0,4,3,38,12.67,0,0,0,0,0,0,0,182,0,0
"Britain Covey","PHI",0,0,0,1,2023,0.375,26,0,456,0,0,0,0,0,0,0,0,0,6,4,42,10.5,0,2,0,0,0,0,0,181,0,0
"Leonard Fournette","BUF",0,1,0,0,2023,2,28,0,457,0,0,0,0,0,12,40,3.33,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0
"Peyton Hendershot","DAL",0,0,1,0,2023,0.75,24,1,458,0,0,0,0,0,1,0,0,0,7,4,38,9.5,0,0,0,0,0,0,0,92,0,0
"Rashaad Penny","PHI",0,1,0,0,2023,1.5,27,0,459,0,0,0,0,0,11,33,3,0,1,1,5,5,0,0,0,0,0,0,0,117,0,0
"Jack Stoll","PHI",0,0,1,0,2023,0.382352941176471,25,10,460,0,0,0,0,0,0,0,0,0,8,5,38,7.6,0,0,0,0,0,0,0,93,0,0
"Ke'Shawn Vaughn","TAM",0,1,0,0,2023,0.833333333333333,26,0,461,0,0,0,0,0,24,42,1.75,0,5,2,2,1,0,0,0,0,0,0,0,115,0,0
"Khari Blasingame","CHI",0,1,0,0,2023,0.28125,27,2,462,0,0,0,0,0,8,26,3.25,0,6,3,2,0.67,0,0,0,0,0,0,0,122,0,0
"Keelan Doss","LAC",0,0,0,1,2023,1.2,27,0,463,0,0,0,0,0,0,0,0,0,13,6,33,5.5,0,0,0,0,0,0,0,183,0,0
"Greg Dulcich","DEN",0,0,1,0,2023,2.25,23,1,464,0,0,0,0,0,0,0,0,0,4,3,25,8.33,0,0,0,0,0,0,0,99,0,0
"Devin Duvernay","BAL",0,0,0,1,2023,0.384615384615385,26,1,465,0,0,0,0,0,4,15,3.75,0,9,4,18,4.5,0,0,0,0,0,0,0,184,0,0
"Derrick Gore","WAS",0,1,0,0,2023,0.5,29,0,466,0,0,0,0,0,3,26,8.67,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0
"C.J. Ham","MIN",0,1,0,0,2023,0.382352941176471,30,5,467,0,0,0,0,0,1,7,7,0,9,7,25,3.57,0,0,0,0,0,0,0,120,1,0
"Julian Hill","MIA",0,0,1,0,2023,0.4,23,4,468,0,0,0,0,0,0,0,0,0,9,6,48,8,0,1,1,0,0,0,0,96,0,0
"Trishton Jackson","MIN",0,0,0,1,2023,0.571428571428571,25,0,469,0,0,0,0,0,0,0,0,0,4,2,9,4.5,0,0,0,0,1,0,0,185,0,0
"James Mitchell","DET",0,0,1,0,2023,0.266666666666667,24,1,470,0,0,0,0,0,0,0,0,0,2,2,28,14,0,0,0,0,0,0,0,97,0,0
"Jalen Nailor","MIN",0,0,0,1,2023,0.75,24,1,471,0,0,0,0,0,0,0,0,0,6,3,29,9.67,0,0,0,0,0,0,0,186,0,0
"Teagan Quitoriano","HOU",0,0,1,0,2023,0.571428571428571,23,5,472,0,0,0,0,0,0,0,0,0,3,2,33,16.5,0,0,0,0,0,0,0,94,0,0
"Cooper Rush","DAL",1,0,0,0,2023,0.428571428571429,30,0,473,18,24,144,0,1,12,-5,-0.42,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0
"Steven Sims","HOU",0,0,0,1,2023,1.5,26,0,474,0,0,0,0,0,1,1,1,0,3,3,25,8.33,0,0,0,0,0,0,0,187,0,0
"Keith Smith","ATL",0,1,0,0,2023,0.346153846153846,31,6,475,0,0,0,0,0,0,0,0,0,3,3,33,11,0,0,0,0,0,0,0,119,0,0
"Sean Tucker","TAM",0,1,0,0,2023,0.363636363636364,22,0,476,0,0,0,0,0,15,23,1.53,0,2,2,9,4.5,0,0,0,0,0,0,0,121,0,0
"Malik Willis","TEN",1,0,0,0,2023,1,24,0,477,4,5,74,0,0,5,21,4.2,0,0,0,0,0,0,1,1,0,0,0,0,70,0,0
"Charlie Woerner","SFO",0,0,1,0,2023,0.264705882352941,26,2,478,0,0,0,0,0,0,0,0,0,3,3,32,10.67,0,0,0,0,0,0,0,95,0,0
"Kenny Yeboah","NYJ",0,0,1,0,2023,0.8,25,1,479,0,0,0,0,0,0,0,0,0,4,2,28,14,0,0,0,0,0,0,0,98,0,0
"Nate Adkins","DEN",0,0,1,0,2023,0.4,24,1,480,0,0,0,0,0,0,0,0,0,5,4,22,5.5,0,0,0,0,0,0,0,100,0,0
"Kayshon Boutte","NWE",0,0,0,1,2023,0.6,21,0,481,0,0,0,0,0,0,0,0,0,7,2,19,9.5,0,0,0,0,0,0,0,190,0,0
"Miles Boykin","PIT",0,0,0,1,2023,0.205882352941176,27,0,482,0,0,0,0,0,0,0,0,0,4,3,17,5.67,0,0,0,0,0,0,0,192,0,0
"DeeJay Dallas","SEA",0,1,0,0,2023,0.294117647058824,25,0,483,0,0,0,0,0,10,36,3.6,0,9,6,26,4.33,0,2,2,0,0,0,0,124,0,0
"Tyrion Davis-Price","SFO",0,1,0,0,2023,2,23,0,484,0,0,0,0,0,6,21,3.5,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0
"Elijah Dotson","LAC",0,1,0,0,2023,0.75,24,0,485,0,0,0,0,0,4,6,1.5,0,2,2,13,6.5,0,0,0,0,0,0,0,128,0,0
"Zach Evans","LAR",0,1,0,0,2023,0.2,22,0,486,0,0,0,0,0,9,19,2.11,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0
"Erik Ezukanma","MIA",0,0,0,1,2023,1,23,0,487,0,0,0,0,0,5,22,4.4,0,1,0,0,0,0,0,0,0,0,0,0,188,0,0
"Jake Funk","IND",0,1,0,0,2023,0.625,25,0,488,0,0,0,0,0,2,10,5,0,1,1,12,12,0,0,0,0,0,0,0,125,0,0
"Jaren Hall","MIN",1,0,0,0,2023,0.666666666666667,25,2,489,13,20,168,0,1,6,14,2.33,0,0,0,0,0,0,2,2,0,0,0,0,71,0,0
"Marvin Jones","DET",0,0,0,1,2023,0.75,33,4,490,0,0,0,0,0,0,0,0,0,10,5,35,7,0,1,1,0,0,0,0,194,0,0
"Zonovan Knight","DET",0,1,0,0,2023,1.25,22,0,491,0,0,0,0,0,3,13,4.33,0,1,1,8,8,0,0,0,0,0,0,0,127,0,0
"Chris Manhertz","DEN",0,0,1,0,2023,0.1875,31,4,492,0,0,0,0,0,0,0,0,0,4,2,16,8,0,0,0,0,0,0,0,103,0,0
"Nick Muse","MIN",0,0,1,0,2023,1.25,25,0,493,0,0,0,0,0,0,0,0,0,1,1,22,22,0,0,0,0,0,0,0,101,0,0
"Gunner Olszewski","2TM",0,0,0,1,2023,0.208333333333333,27,0,494,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,2,1,0,0,0,189,0,0
"Zach Pascal","ARI",0,0,0,1,2023,0.285714285714286,29,1,495,0,0,0,0,0,0,0,0,0,15,4,19,4.75,0,0,0,0,0,0,0,191,0,0
"Laquon Treadwell","BAL",0,0,0,1,2023,0.5,28,1,496,0,0,0,0,0,0,0,0,0,3,1,16,16,0,0,0,0,0,0,0,193,0,0
"Trevon Wesco","TEN",0,0,1,0,2023,0.166666666666667,28,10,497,0,0,0,0,0,0,0,0,0,3,1,21,21,0,0,0,0,0,0,0,102,0,0
"Mike White","MIA",1,0,0,0,2023,0.333333333333333,28,0,498,5,6,74,1,1,8,-9,-1.13,0,0,0,0,0,0,1,1,0,0,0,0,72,0,0
"Alex Armah","WAS",0,1,0,0,2023,0.3125,29,0,499,0,0,0,0,0,0,0,0,0,3,3,13,4.33,0,0,0,0,0,0,0,130,0,0
"Sean Clifford","GNB",1,0,0,0,2023,0.5,25,0,500,1,1,37,0,0,3,-2,-0.67,0,0,0,0,0,0,1,0,0,0,0,0,73,0,0
"Jashaun Corbin","NYG",0,1,0,0,2023,0.416666666666667,23,0,501,0,0,0,0,0,1,1,1,0,3,3,12,4,0,0,0,0,0,0,0,131,0,0
"Kenyan Drake","2TM",0,1,0,0,2023,0.666666666666667,29,0,502,0,0,0,0,0,2,0,0,0,3,2,31,15.5,0,1,1,0,0,0,0,135,0,0
"Ross Dwelley","SFO",0,0,1,0,2023,0.125,28,0,503,0,0,0,0,0,0,0,0,0,2,1,12,12,0,0,0,0,0,0,0,104,0,0
"D'Wayne Eskridge","SEA",0,0,0,1,2023,0.25,26,0,504,0,0,0,0,0,2,5,2.5,0,1,0,0,0,0,0,0,0,0,0,0,201,0,0
"Chris Evans","CIN",0,1,0,0,2023,0.1875,26,0,505,0,0,0,0,0,2,12,6,0,1,1,-1,-1,0,0,0,0,0,0,0,136,0,0
"Tucker Fisk","ATL",0,0,1,0,2023,0.25,24,2,506,0,0,0,0,0,0,0,0,0,1,1,9,9,0,0,0,0,0,0,0,107,0,0
"John FitzPatrick","ATL",0,0,1,0,2023,0.166666666666667,23,0,507,0,0,0,0,0,0,0,0,0,1,1,12,12,0,0,0,0,0,0,0,105,0,0
"Cole Fotheringham","LVR",0,0,1,0,2023,0.75,26,0,508,0,0,0,0,0,0,0,0,0,1,1,6,6,0,0,0,0,0,0,0,108,0,0
"Evan Hull","IND",0,1,0,0,2023,1.5,23,0,509,0,0,0,0,0,1,1,1,0,1,1,6,6,0,0,0,0,0,0,0,139,0,0
"Collin Johnson","CHI",0,0,0,1,2023,0.5,26,0,510,0,0,0,0,0,0,0,0,0,1,1,11,11,0,0,0,0,0,0,0,197,0,0
"Jakob Johnson","LVR",0,1,0,0,2023,0.115384615384615,29,5,511,0,0,0,0,0,0,0,0,0,2,1,12,12,0,0,0,0,0,0,0,134,0,0
"Mason Kinsey","TEN",0,0,0,1,2023,0.25,25,0,512,0,0,0,0,0,0,0,0,0,1,1,6,6,0,0,0,0,0,0,0,200,0,0
"A.J. McCarron","CIN",1,0,0,0,2023,0.5,33,0,513,4,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0
"Anthony McFarland Jr.","PIT",0,1,0,0,2023,0.666666666666667,25,0,514,0,0,0,0,0,0,0,0,0,2,2,11,5.5,0,0,0,0,0,0,0,137,0,0
"Kene Nwangwu","MIN",0,1,0,0,2023,0.111111111111111,25,0,515,0,0,0,0,0,5,13,2.6,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0
"Devine Ozigbo","DET",0,1,0,0,2023,0.5,27,0,516,0,0,0,0,0,3,5,1.67,0,1,1,8,8,0,0,0,0,0,0,0,133,0,0
"Kevin Rader","TEN",0,0,1,0,2023,0.107142857142857,28,0,517,0,0,0,0,0,0,0,0,0,3,1,6,6,0,0,0,0,0,0,0,109,0,0
"Eric Saubert","2TM",0,0,1,0,2023,0.25,29,1,518,0,0,0,0,0,0,0,0,0,3,3,12,4,0,0,0,0,0,0,0,106,0,0
"Willie Snead","SFO",0,0,0,1,2023,0.5,31,0,519,0,0,0,0,0,0,0,0,0,3,2,14,7,0,0,0,0,0,0,0,195,0,0
"Malik Taylor","NYJ",0,0,0,1,2023,0.666666666666667,28,0,520,0,0,0,0,0,0,0,0,0,4,2,13,6.5,0,0,0,0,0,0,0,196,0,0
"Cody Thompson","SEA",0,0,0,1,2023,0.214285714285714,27,0,521,0,0,0,0,0,0,0,0,0,1,1,10,10,0,0,0,0,0,0,0,198,0,0
"Austin Trammell","LAR",0,0,0,1,2023,0.1875,25,0,522,0,0,0,0,0,0,0,0,0,7,4,29,7.25,0,3,1,0,0,0,0,199,0,0
"Jonathan Ward","TEN",0,1,0,0,2023,0.142857142857143,26,0,523,0,0,0,0,0,3,11,3.67,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0
"Kyle Allen","BUF",1,0,0,0,2023,-0.142857142857143,27,0,628,0,0,0,0,0,13,-13,-1,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0
"Deon Jackson","3TM",0,1,0,0,2023,0.375,24,1,629,0,0,0,0,0,14,16,1.14,0,6,5,14,2.8,0,2,2,0,0,0,0,166,0,0
"David Wells","TAM",0,0,1,0,2023,0,28,0,630,0,0,0,0,0,0,0,0,0,2,2,-10,-5,0,1,0,0,0,0,0,140,0,0
"James Proche","CLE",0,0,0,1,2023,-0.2,27,1,631,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,1,0,0,0,0,242,0,0
"Trent Taylor","CHI",0,0,0,1,2023,-0.117647058823529,29,0,632,0,0,0,0,0,1,-2,-2,0,2,0,0,0,0,2,1,0,0,0,0,243,0,0
