"player","team","posQB","posRB","posTE","posWR","year","lag_ppg","lag_age","lag_starts","lag_rk_ovr","lag_pass_comp","lag_pass_att","lag_pass_yds","lag_pass_td","lag_pass_int","lag_rush_att","lag_rush_yds","lag_y_a","lag_rush_td","lag_rec_tgt","lag_rec_rec","lag_rec_yds","lag_y_r","lag_rec_td","lag_fumb_times","lag_fumb_fl","lag_score_tds","lag_score_2pm","lag_score_2pp","lag_rk_vbd","lag_rk_pos","lag_rk_probowl","lag_rk_allpro"
"Ihmir Smith-Marsette","CAR",0,0,0,1,2023,1.70588235294118,24,0,311,0,0,0,0,0,8,74,9.25,1,10,8,51,6.38,0,2,0,2,0,0,0,124,0,0
"Treylon Burks","TEN",0,0,0,1,2023,2.90909090909091,23,9,312,0,0,0,0,0,5,18,3.6,0,30,16,221,13.81,0,0,0,0,0,0,0,125,0,0
"Andy Dalton","CAR",1,0,0,0,2023,8,36,1,313,34,58,361,2,0,3,12,4,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0
"Hayden Hurst","CAR",0,0,1,0,2023,3.66666666666667,30,8,314,0,0,0,0,0,0,0,0,0,32,18,184,10.22,1,0,0,1,0,0,0,53,0,0
"Hunter Renfrow","LVR",0,0,0,1,2023,2.14705882352941,28,3,315,0,0,0,0,0,0,0,0,0,37,25,255,10.2,0,1,1,0,0,0,0,126,0,0
"Jacoby Brissett","WAS",1,0,0,0,2023,7.66666666666667,31,0,316,18,23,224,3,0,3,19,6.33,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0
"Dyami Brown","WAS",0,0,0,1,2023,1.70588235294118,24,1,317,1,1,4,0,0,1,0,0,0,23,12,168,14,1,0,0,1,0,0,0,130,0,0
"Sam Darnold","SFO",1,0,0,0,2023,2.3,26,1,318,28,46,297,2,1,21,15,0.71,1,0,0,0,0,0,3,1,1,0,0,0,54,0,0
"Will Dissly","SEA",0,0,1,0,2023,1.96875,27,14,319,0,0,0,0,0,0,0,0,0,22,17,172,10.12,1,0,0,1,0,0,0,55,0,0
"Darrynton Evans","2TM",0,1,0,0,2023,3.78571428571429,25,0,320,0,0,0,0,0,32,121,3.78,1,12,7,49,7,0,0,0,1,0,0,0,84,0,0
"KhaDarel Hodge","ATL",0,0,0,1,2023,1.76470588235294,28,4,321,0,0,0,0,0,1,0,0,0,23,14,232,16.57,0,1,0,0,0,0,0,127,0,0
"Austin Hooper","LVR",0,0,1,0,2023,2.08823529411765,29,9,322,0,0,0,0,0,0,0,0,0,31,25,234,9.36,0,0,0,0,0,0,0,54,0,0
"Johnny Mundt","MIN",0,0,1,0,2023,1.85294117647059,29,0,323,0,0,0,0,0,0,0,0,0,23,17,172,10.12,1,0,0,1,0,0,0,56,0,0
"Cedric Tillman","CLE",0,0,0,1,2023,2.39285714285714,23,3,324,0,0,0,0,0,1,8,8,0,44,21,224,10.67,0,0,0,0,0,0,0,128,0,0
"Parker Washington","JAX",0,0,0,1,2023,3.44444444444444,21,1,325,0,0,0,0,0,0,0,0,0,21,16,132,8.25,2,2,1,2,0,0,0,129,0,0
"Ameer Abdullah","LVR",0,1,0,0,2023,1.85294117647059,30,0,326,0,0,0,0,0,15,89,5.93,0,24,19,131,6.89,0,0,0,0,0,0,0,85,0,0
"Tank Bigsby","JAX",0,1,0,0,2023,1.32352941176471,22,0,327,0,0,0,0,0,50,132,2.64,2,4,1,6,6,0,2,2,2,0,0,0,86,0,0
"Elijah Higgins","ARI",0,0,1,0,2023,2.63636363636364,23,2,328,0,0,0,0,0,0,0,0,0,19,14,163,11.64,1,0,0,1,0,0,0,57,0,0
